Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
abaya,0.0004915057843426481,0.0002853542051078254,0.0021702252819013573,0.0004121632390425953,0.0003870108231969471
abdomen,0.0004912846585540701,0.00028527827522059135,0.0003645462365286561,0.00031716556438499393,0.0012221533954587793
academic,0.0012739847286338554,0.0002852701939588673,0.0003645269099309819,0.00031715814171460105,0.00038685716036261343
accipitridae,0.001772399412812201,0.00028529245500922716,0.0009472282936418111,0.0003171804860740594,0.0003868941476769565
accipitriformes,0.00172073876501455,0.00028528747534782323,0.0015340516925566568,0.0003171739945606059,0.0003868849521807238
acting,0.0004912831297312569,0.0002852770621290256,0.0011095044113008223,0.0003171895559949876,0.0003868689629560758
active,0.0012820246266473955,0.00028529179707114803,0.00036456435832140385,0.000780121007865233,0.0003868964603633434
adventure,0.000493383349462339,0.0010792535924399698,0.0003649521721849491,0.006157409453322021,0.0014151958356909595
advertising,0.0024938944263615957,0.0027626186258056912,0.00305350296970414,0.001037936436800192,0.002246814342953467
adélie,0.000491272639912132,0.00028527458248285114,0.0013879642880408052,0.0003171592277988873,0.00038686250914438537
aeolian,0.000491276826162962,0.0002863862715311283,0.0003674946164966159,0.006965123633973478,0.0003868660369586664
aerial,0.0010371952791449995,0.00028544353272872357,0.0017871870638678632,0.00032827747107594103,0.0024534115226525544
aerospace,0.0004912559417814096,0.0002852699786718396,0.0003645227978086839,0.004383442488788784,0.0003868529317150205
african,0.00589762065127877,0.0033077285621840374,0.0003645479764187025,0.0003172823572105573,0.00038969621128088935
afterglow,0.0004997940005581998,0.0013465109719438797,0.0015194325626439707,0.00031718700665613904,0.0003869009908543859
agaricaceae,0.0004912931183727002,0.0002852818513335415,0.0003645434042035859,0.000317170142764636,0.0015116788700763476
agriculture,0.0070892301814055635,0.00028545425219017194,0.0003712404294362259,0.00201901355199732,0.0003868937188816393
agriculturist,0.0014104847255009669,0.00028526954820793504,0.0003645264307264471,0.0003171579554435584,0.00038685305869107364
air,0.000491340051388072,0.0009940983693227606,0.0003645716004062776,0.0010362513815725916,0.00038690970354230656
aircraft,0.0004913495559136395,0.00028529978354097666,0.0012038504940760366,0.003342647200793126,0.0003869100945187634
album,0.0004912811021005615,0.0002852787342304343,0.00036454077804858157,0.0008946428670671482,0.00038687010366680045
algae,0.0004912770696442576,0.00028802758568419195,0.0003645352554319598,0.00031716212858876335,0.0016662738257165383
alley,0.0004912713128501142,0.0002852727685498405,0.00036452997301511617,0.0013762007540697424,0.00038686056683606354
alligator,0.0004912839129631086,0.00028695445225705826,0.00036453738220659657,0.0003171636855841876,0.0011116771642756481
alligators,0.0004912839129631086,0.00028695445225705826,0.00036453738220659657,0.0003171636855841876,0.0011116771642756481
aloes,0.0004913033951266709,0.00028528428238549163,0.00036454906856805036,0.0003171746141661522,0.0016575022418090148
alps,0.0004912817108242407,0.0012949782918823692,0.0003686817350967603,0.0003171663879091373,0.00038686984600193867
aluminium,0.0004912637533354949,0.002722512660687415,0.00036452778010945025,0.0003171586565098962,0.0003868595137830832
american,0.0004913863754072855,0.0008237520235171293,0.0003645943976918334,0.00031720653981233106,0.0009896674342668363
amphibians,0.0004912592236375258,0.0002853552071051716,0.00036452453524410947,0.0003171544024565794,0.00240636766129616
anatomy,0.0004912925850726142,0.00028528190920279044,0.0009459858194053765,0.00031717126996113975,0.0003868767727768817
ancient,0.0019889372976889274,0.00028531016900582116,0.0007605135931891164,0.001981267368654335,0.00038693514298596555
anemone,0.0004912622092263933,0.0002853439758249915,0.0003645276119548964,0.000317159204004264,0.0015150792253985185
angling,0.0004913277759738774,0.0002852937891957383,0.00036456196810447723,0.0003197111891035847,0.0008257254735505487
animal,0.011389859334982363,0.01678793864580853,0.0028326398358677145,0.00031895140161643774,0.0019080873464396419
animation,0.0004913984653501496,0.0002863612324098747,0.0016922966607972937,0.0003172148342374636,0.0021863928873387148
ant,0.0004912852844716901,0.0009266688312953834,0.00036454016943681956,0.00031716626259196154,0.00038687601910509297
anteater,0.0004914094581607841,0.0003231308695212671,0.0003646066308800842,0.0003172163202182418,0.0012599261046737555
antelope,0.0033056848246262225,0.00028614661613569697,0.0003702708693673856,0.00031715958601287794,0.000386863265724116
antenna,0.0004912926038226689,0.0007958022716394986,0.000364545526528779,0.00031717548992978424,0.0003868764269283582
anthropology,0.0004913757598236639,0.0002853110779704333,0.0003645919176382285,0.0008332635476769599,0.0012390290367751745
antler,0.001362814326711625,0.000285275937122804,0.00036734574395520206,0.00031715949588043363,0.0003868618306473005
apartment,0.0004912644373630044,0.00028527193674445205,0.002386574224984098,0.00031715693494131683,0.00038685871900185243
apiary,0.0004913065841248337,0.0009287035743664933,0.00036455251438250423,0.00031718144075074253,0.00038688462804970306
aquarium,0.0004912686777526043,0.00028527410073821147,0.0003645303301213417,0.000317158293616914,0.001153982443752539
aquatic,0.0004913188258103048,0.0002852833696027202,0.0003645481717765257,0.0007198567206784329,0.00038688058210660964
aqueduct,0.0004913074544288429,0.00028528200825827767,0.0008684517248211509,0.0003171732247346974,0.00038688202054200507
arachnid,0.0004912759843810951,0.002211013405433832,0.0003645317586432501,0.00031716137689977544,0.0003868627679820072
